year,elections,teryt_code,powiat,gmina,political_party,n_votes,percentage
2007,sejm,020404,górowski,"Wąsosz, gm.",Komitet Wyborczy Liga Polskich Rodzin,23,1.05
2007,sejm,020404,górowski,"Wąsosz, gm.",Komitet Wyborczy Prawo i Sprawiedliwość,614,28.02
2007,sejm,020404,górowski,"Wąsosz, gm.",Komitet Wyborczy Platforma Obywatelska RP,816,37.24
2007,sejm,020404,górowski,"Wąsosz, gm.",Komitet Wyborczy Polskiego Stronnictwa Ludowego,295,13.46
2007,sejm,020404,górowski,"Wąsosz, gm.",Komitet Wyborczy Samoobrona Rzeczpospolitej Polskiej,102,4.66
2007,sejm,020404,górowski,"Wąsosz, gm.",Koalicyjny Komitet Wyborczy Lewica i Demokraci SLD+SDPL+PD+UP,295,13.46
2007,sejm,020501,jaworski,"Jawor, m.",Komitet Wyborczy Polska Partia Pracy,74,0.73
2007,sejm,020501,jaworski,"Jawor, m.",Komitet Wyborczy Liga Polskich Rodzin,130,1.28
2007,sejm,020501,jaworski,"Jawor, m.",Komitet Wyborczy Prawo i Sprawiedliwość,3644,35.86
2007,sejm,020501,jaworski,"Jawor, m.",Komitet Wyborczy Platforma Obywatelska RP,4397,43.26
2007,sejm,020501,jaworski,"Jawor, m.",Komitet Wyborczy Polskiego Stronnictwa Ludowego,368,3.62
2007,sejm,020501,jaworski,"Jawor, m.",Komitet Wyborczy Samoobrona Rzeczpospolitej Polskiej,102,1.00
2007,sejm,020501,jaworski,"Jawor, m.",Koalicyjny Komitet Wyborczy Lewica i Demokraci SLD+SDPL+PD+UP,1448,14.25
2007,sejm,020502,jaworski,"Bolków, gm.",Komitet Wyborczy Polska Partia Pracy,76,2.02
2007,sejm,020502,jaworski,"Bolków, gm.",Komitet Wyborczy Liga Polskich Rodzin,63,1.68
2007,sejm,020502,jaworski,"Bolków, gm.",Komitet Wyborczy Prawo i Sprawiedliwość,1022,27.22
2007,sejm,020502,jaworski,"Bolków, gm.",Komitet Wyborczy Platforma Obywatelska RP,1339,35.67
2007,sejm,020502,jaworski,"Bolków, gm.",Komitet Wyborczy Polskiego Stronnictwa Ludowego,394,10.50
2007,sejm,020502,jaworski,"Bolków, gm.",Komitet Wyborczy Samoobrona Rzeczpospolitej Polskiej,102,2.72
2007,sejm,020502,jaworski,"Bolków, gm.",Koalicyjny Komitet Wyborczy Lewica i Demokraci SLD+SDPL+PD+UP,758,20.19
2007,sejm,020503,jaworski,"Męcinka, gm.",Komitet Wyborczy Polska Partia Pracy,17,1.10
2007,sejm,020503,jaworski,"Męcinka, gm.",Komitet Wyborczy Liga Polskich Rodzin,23,1.49
2007,sejm,020503,jaworski,"Męcinka, gm.",Komitet Wyborczy Prawo i Sprawiedliwość,693,45.03
2007,sejm,020503,jaworski,"Męcinka, gm.",Komitet Wyborczy Platforma Obywatelska RP,402,26.12
2007,sejm,020503,jaworski,"Męcinka, gm.",Komitet Wyborczy Polskiego Stronnictwa Ludowego,216,14.04
2007,sejm,020503,jaworski,"Męcinka, gm.",Komitet Wyborczy Samoobrona Rzeczpospolitej Polskiej,37,2.40
2007,sejm,020503,jaworski,"Męcinka, gm.",Koalicyjny Komitet Wyborczy Lewica i Demokraci SLD+SDPL+PD+UP,151,9.81
2007,sejm,020504,jaworski,"Mściwojów, gm.",Komitet Wyborczy Polska Partia Pracy,17,1.15
2007,sejm,020504,jaworski,"Mściwojów, gm.",Komitet Wyborczy Liga Polskich Rodzin,18,1.22
2007,sejm,020504,jaworski,"Mściwojów, gm.",Komitet Wyborczy Prawo i Sprawiedliwość,590,39.92
2007,sejm,020504,jaworski,"Mściwojów, gm.",Komitet Wyborczy Platforma Obywatelska RP,411,27.81
2007,sejm,020504,jaworski,"Mściwojów, gm.",Komitet Wyborczy Polskiego Stronnictwa Ludowego,218,14.75
2007,sejm,020504,jaworski,"Mściwojów, gm.",Komitet Wyborczy Samoobrona Rzeczpospolitej Polskiej,56,3.79
2007,sejm,020504,jaworski,"Mściwojów, gm.",Koalicyjny Komitet Wyborczy Lewica i Demokraci SLD+SDPL+PD+UP,168,11.37
2007,sejm,020505,jaworski,"Paszowice, gm.",Komitet Wyborczy Polska Partia Pracy,14,1.12
2007,sejm,020505,jaworski,"Paszowice, gm.",Komitet Wyborczy Liga Polskich Rodzin,20,1.60
2007,sejm,020505,jaworski,"Paszowice, gm.",Komitet Wyborczy Prawo i Sprawiedliwość,514,41.02
